algorithm,scenario,trial,duration_seconds,seed,admission_rate,good_avg_latency_us,good_p99_latency_us,good_p50_latency_us,noisy_avg_latency_us,noisy_p99_latency_us,fairness_score,total_throughput,noisy_share,good_throughput,noisy_throughput,throttled_requests,cache_utilization
No Control (Baseline),5T_15x_Noisy,34,0.0014939308166503906,76,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,35,0.002070903778076172,77,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_15x_Noisy,36,0.0013418197631835938,78,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.099609375
No Control (Baseline),5T_15x_Noisy,37,0.0015149116516113281,79,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1005859375
No Control (Baseline),5T_15x_Noisy,38,0.0013456344604492188,80,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.099609375
No Control (Baseline),5T_15x_Noisy,39,0.001386880874633789,81,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,40,0.0014269351959228516,82,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,41,0.0014619827270507812,83,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,42,0.0014662742614746094,84,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,43,0.0018680095672607422,85,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_15x_Noisy,44,0.0013921260833740234,86,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_15x_Noisy,45,0.0012962818145751953,87,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,46,0.0014657974243164062,88,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_15x_Noisy,47,0.0013802051544189453,89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,48,0.0013740062713623047,90,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_15x_Noisy,49,0.0013840198516845703,91,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_25x_Noisy,0,0.0018341541290283203,92,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_25x_Noisy,1,0.0014011859893798828,93,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.099609375
No Control (Baseline),5T_25x_Noisy,2,0.0015177726745605469,94,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.099609375
No Control (Baseline),5T_25x_Noisy,3,0.0013949871063232422,95,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,4,0.0014178752899169922,96,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,5,0.001386880874633789,97,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
