Algorithm,Peak Frequency (Hz),Peak Power (dB),Noise Floor (dB),Resonance Energy (dB),Peak Reduction (dB),Mean Added Delay (ms),p99 Added Delay (ms)
None (Baseline),100.0,74.50484001308142,3.546489672758797,76.2655377818584,0.0,0.0,0.0
Uniform,144.6,54.329914845356065,8.221262668890441,69.92206701153339,20.174925167725355,25.357184384786287,91.30346981540036
Gaussian,96.60000000000001,56.866617269276134,8.161074148449357,72.35105878482563,17.638222743805287,25.700198278894476,88.49741692116498
Adaptive,99.2,60.31269736441466,8.104107127597096,73.73933284242784,14.19214264866676,28.404083025038663,63.10657715858448
